,order_number,reference,quantity,ship_out_date,arrival_date
503,WCI124221,R308404,414,,01.11.2021
504,WCI124221,R308404,414,,20.12.2021
505,WCI124221,R308404,414,,24.01.2022
506,WCI124221,R308404,0,,31.01.2022
507,WCI124221,R308404,414,,07.03.2022
508,WCI124221,R308404,414,,28.03.2022
509,WCI124221,R308404,0,,11.04.2022
510,WCI124221,R308404,414,,09.05.2022
511,WCI124221,R308404,0,,23.05.2022
512,WCI124221,R308404,414,,20.06.2022
513,WCI124221,R308404,0,,27.06.2022
514,WCI124221,R308404,414,,12.07.2021
515,WCI124221,R308404,414,,30.08.2021
516,WCI124221,R308404,0,,18.10.2021
517,WCI124221,R308404,414,,01.11.2021
518,WCI124221,R308404,0,,13.12.2021
519,WCI124221,R308404,414,,20.12.2021
520,WCI124221,R308404,0,,17.01.2022
521,WCI124221,R308404,414,,31.01.2022
522,WCI124221,R308404,0,,28.02.2022
523,WCI124221,R308404,414,,07.03.2022
524,WCI124221,R308404,0,,04.04.2022
525,WCI124221,R308404,414,,11.04.2022
526,WCI124221,R308404,0,,09.05.2022
527,WCI124221,R308404,414,,23.05.2022
528,WCI124221,R308404,0,,20.06.2022
529,WCI124221,R308404,414,,30.08.2021
530,WCI124221,R308404,414,,01.11.2021
531,WCI124221,R308404,414,,20.12.2021
532,WCI124221,R308404,0,,24.01.2022
533,WCI124221,R308404,414,,31.01.2022
534,WCI124221,R308404,414,,07.03.2022
535,WCI124221,R308404,414,,11.04.2022
536,WCI124221,R308404,0,,16.05.2022
537,WCI124221,R308404,414,,23.05.2022
538,WCI124221,R308404,0,,20.06.2022
539,WCI124221,R308404,414,,27.06.2022
540,WCI124221,R308404,414,,12.07.2021
541,WCI124221,R308404,414,,30.08.2021
542,WCI124221,R308404,414,,18.10.2021
543,WCI124221,R308404,414,,13.12.2021
544,WCI124221,R308404,414,,17.01.2022
545,WCI124221,R308404,414,,28.02.2022
546,WCI124221,R308404,414,,04.04.2022
547,WCI124221,R308404,414,,09.05.2022
548,WCI124221,R308404,414,,20.06.2022
549,WCI124221,R308404,414,,12.07.2021
550,WCI124221,R308404,414,,30.08.2021
551,WCI124221,R308404,0,,06.09.2021
552,WCI124221,R308404,414,,18.10.2021
553,WCI124221,R308404,0,,01.11.2021
554,WCI124221,R308404,414,,13.12.2021
555,WCI124221,R308404,414,,17.01.2022
556,WCI124221,R308404,0,,24.01.2022
557,WCI124221,R308404,414,,28.02.2022
558,WCI124221,R308404,0,,07.03.2022
559,WCI124221,R308404,414,,04.04.2022
560,WCI124221,R308404,414,,09.05.2022
561,WCI124221,R308404,0,,16.05.2022
562,WCI124221,R308404,414,,30.08.2021
563,WCI124221,R308404,0,,06.09.2021
564,WCI124221,R308404,414,,01.11.2021
565,WCI124221,R308404,414,,20.12.2021
566,WCI124221,R308404,414,,24.01.2022
567,WCI124221,R308404,0,,31.01.2022
568,WCI124221,R308404,414,,07.03.2022
569,WCI124221,R308404,414,,11.04.2022
570,WCI124221,R308404,414,,16.05.2022
571,WCI124221,R308404,0,,23.05.2022
572,WCI124221,R308404,414,,20.06.2022
573,WCI124221,R308404,414,,01.11.2021
574,WCI124221,R308404,0,,22.11.2021
575,WCI124221,R308404,414,,06.12.2021
576,WCI124221,R308404,414,,03.01.2022
577,WCI124221,R308404,414,,07.02.2022
578,WCI124221,R308404,0,,14.03.2022
579,WCI124221,R308404,414,,21.03.2022
580,WCI124221,R308404,0,,11.04.2022
581,WCI124221,R308404,414,,18.04.2022
582,WCI124221,R308404,0,,16.05.2022
583,WCI124221,R308404,414,,23.05.2022
584,WCI124221,R308404,0,,20.06.2022
585,WCI124221,R308404,414,,11.07.2022
586,WCI124221,R308404,0,,01.08.2022
587,WCI124221,R308404,414,,05.09.2022
